,keyword,view,menu,checkout,order
1113,ayam goreng parmesan,49112,12184,5725,335
1114,wings rasa bawang keju,2108,770,264,12
1115,cánh gà phô mai tỏi,8014,2947,1962,128
1116,garlic cheese wings,20684,5506,1789,99
1117,sayap ayam rasa keju,11459,2458,1013,54
1118,garlic butter wings,29568,11766,6255,614
1119,wings gurih,20356,7029,2700,170
1120,birria quesa tacos,31131,11991,7887,599
1121,birria tacos,48310,9766,2674,112
1122,taco birria keju,42961,15107,10041,348
1123,tacos isi daging rebus,8672,2707,1498,120
1124,birria cheese tacos,8802,3478,2237,134
1125,taco daging keju,45002,9757,5358,416
1126,keju tacos birria,3105,773,461,40
1127,bánh taco thịt hầm phô mai,37743,14305,3853,265
1128,cheesy birria tacos,7319,2479,1641,118
1129,taco juicy beef,32318,11033,5281,435
1130,taco keju,31763,8794,5088,282
1131,taco panggang birria,46353,13758,5798,448
1132,taco leleh keju,11246,3592,1531,73
1133,tacos quesabirria,36266,11592,4794,461
1134,grilled chicken shawarma plate,24986,4014,1616,100
1135,ayam shawarma panggang,4169,1378,346,16
1136,shawarma chicken plate,11387,2530,933,64
1137,nasi ayam shawarma,36520,8046,3923,251
1138,daging ayam grill shawarma,35055,8654,4464,258
1139,platter ayam shawarma,47979,11816,6265,464
1140,grilled shawarma bowl,7402,2059,1035,50
1141,ayam panggang gaya timur tengah,19849,6649,2774,269
1142,cơm thịt gà nướng shawarma,26990,7263,2038,134
1143,shawarma panggang,23079,6588,3785,370
1144,grilled shawarma meal,24770,4640,1543,145
1145,plate shawarma ayam,19520,5551,1477,91
1146,ayam shawarma lengkap,36460,14203,4663,272
1147,vegetable chow mein,34714,5923,1938,118
1148,chow mein sayur,42766,13309,8133,376
1149,mie chow mein,13862,4924,3142,123
1150,mie goreng sayuran,48848,14675,5647,432
1151,vegetarian chow mein,5691,1845,1234,54
1152,stir-fried veggie noodles,43765,10306,6015,491
1153,chow mein vegetarian,47700,8463,2322,140
1154,mi xào rau củ,13710,2252,1386,137
1155,mie tumis sayur,12529,4285,1099,97
1156,chinese noodle veggie,11837,3980,1800,123
1157,chowmein sayur,20822,6907,2931,156
1158,chow mein tanpa daging,18620,5527,3052,186
1159,veggie lo mein,5504,1320,572,26
1160,mie chow mein sayur,43485,14166,5528,419
1161,noodle goreng sayur,24914,6301,2885,193
1162,spicy turkey chili,23592,6680,1712,81
1163,chili kalkun pedas,15300,5915,3132,252
1164,turkey chili,7473,1268,650,44
1165,kalkun cincang pedas,39327,13157,8099,800
1166,spicy chili bowl,25077,7607,4036,217
1167,spicy minced turkey,21118,7415,5085,373
1168,chili daging turkey,41339,7292,4525,287
1169,chili kalkun,24866,6438,2349,214
1170,spicy stew turkey,28116,10653,6200,261
1171,thịt gà tây cay hầm,45919,14566,6605,571
1172,turkey bean chili,9905,3194,1140,93
1173,chili turkey bowl,49603,16801,10669,562
1174,kalkun saus pedas,20119,5766,1748,80
1175,spicy ground turkey chili,26054,5626,2981,187
1176,chili turkey pedas,23403,5281,1413,92
1177,beer-battered haddock,40322,14058,5910,285
1178,ikan haddock goreng bir,18526,6728,3805,162
1179,battered haddock,44569,8605,3713,191
1180,haddock fish fry,24404,4625,2736,162
1181,haddock beer coating,18190,5447,2601,253
1182,ikan bir goreng,25828,4376,1515,135
1183,ikan tepung bir,38334,10806,5361,189
1184,cá chiên bột bia,38432,6879,3315,140
1185,haddock crunchy beer,26972,8111,3521,218
1186,fish fry bir,2198,577,214,21
1187,beer fried fish,44602,17035,4509,257
1188,ikan goreng beer,18747,4648,2937,160
1189,goreng ikan bir,3768,1431,992,56
1190,fish and chips haddock,24330,7714,4837,406
1191,haddock goreng rangup,14299,2666,1641,145
1192,mini donuts,24173,3773,2212,162
1193,donat mini,29027,6860,4047,376
1194,mini doughnuts,45164,7414,1932,140
1195,donat kecil,45483,13766,5462,470
1196,donat cemilan,34222,11774,7996,560
1197,donat manis mini,40484,10064,2535,182
1198,sweet mini donuts,6538,2426,891,67
1199,bánh donut nhỏ,28985,8809,3124,107
1200,donat mini goreng,34563,5582,3741,349
1201,mini sugar donuts,10844,3769,1055,89
1202,baby donuts,33022,6717,3190,137
1203,small donuts,2685,1013,368,32
1204,snack donuts,45759,12947,6687,472
1205,donat mini rasa,46357,10056,3704,235
1206,donat mini topping,46477,9840,5892,303
1207,mini donuts sugar coated,11849,2401,725,67
1208,truffle burger,45062,13225,6193,486
1209,burger truffle,24392,6637,4084,147
1210,burger keju truffle,12999,1993,888,80
1211,truffle beef burger,20018,3032,1923,109
1212,truffle cheese burger,34893,10532,5145,365
1213,burger jamur truffle,19616,4155,1433,106
1214,burger sapi truffle,19029,3314,1429,118
1215,bánh mì kẹp nấm truffle,27931,5585,3804,240
1216,gourmet truffle burger,13034,2620,664,24
1217,burger mewah,19682,3158,1124,67
1218,truffle sauce burger,34082,11021,4879,341
1219,truffle burger daging,49526,16478,6407,450
1220,truffle infused burger,4424,996,506,23
1221,burger mahal,22659,8954,4775,177
1222,burger premium,30511,5515,3467,234
1223,pickled cabbage,21513,8273,2124,98
1224,acar kubis,1635,417,155,5
1225,kol asam,49637,12446,7129,282
1226,kubis fermentasi,2305,676,290,12
1227,cabbage pickles,708,251,157,15
1228,sauerkraut,5593,2176,1436,93
1229,pickled slaw,4415,951,412,32
1230,kubis acar,2016,379,192,15
1231,kubis asin,18752,3317,1655,133
1232,dưa cải muối,29431,5835,1856,110
1233,fermented cabbage,36393,9736,4590,368
1234,side pickled cabbage,8632,1445,655,27
1235,cabbage side dish,32265,10889,3269,294
1236,pickled veggie,11253,4137,1118,102
1237,sour cabbage,39771,9977,4163,142
1238,preserved cabbage,44816,7102,2355,92
1239,sayur kubis asin,49800,14129,5414,276
1240,pineapple fried rice,28441,9191,5736,568
1241,nasi goreng nanas,22760,7180,4234,413
1242,nasi nanas goreng,44689,12018,3386,262
1243,thai pineapple rice,25076,8391,4207,341
1244,nasi goreng buah,1153,245,73,5
1245,nasi goreng thai nanas,37469,12891,5183,187
1246,nasi goreng manis,40131,7983,2008,191
1247,cơm chiên dứa,31318,6552,4464,260
1248,nasi goreng khas thai,20256,5005,1281,48
1249,sweet fried rice,19385,6645,2980,243
1250,tropical fried rice,47624,8062,5162,221
1251,nasi goreng unik,29235,7977,3139,156
1252,nasi nanas thai,36032,10805,7549,703
1253,fried rice nanas,3728,1176,356,17
1254,green curry with jasmine rice,11710,1766,545,32
1255,green curry rice,27419,8574,4716,207
1256,kari hijau dengan nasi jasmine,12031,3066,1361,115
1257,kari hijau ayam,38840,7021,4097,397
1258,thai green curry rice,47498,14881,8899,498
1259,nasi kari hijau,44479,12107,7839,510
1260,kari hijau thailand,22156,5976,2329,212
1261,kari sayur hijau,41047,12933,7619,656
1262,cà ri xanh với cơm,3379,746,513,23
1263,green curry bowl,27990,10011,5609,557
1264,nasi wangi kari hijau,49273,12365,7735,666
1265,thai curry rice,38986,12583,6706,314
1266,kari hijau pedas,33258,5256,3134,125
1267,jasmine rice curry,30441,8428,3481,226
1268,rainbow slaw,19076,5347,2148,161
1269,salad pelangi,9467,2884,1308,73
1270,slaw warna warni,38706,8076,2549,177
1271,vegetable slaw,40265,9956,2863,176
1272,slaw sayuran,41105,6289,3710,177
1273,coleslaw mix,19691,3551,1065,37
1274,slaw colorful,36872,14663,6888,621
1275,gỏi rau trộn sắc màu,7620,2591,1453,62
1276,veggie slaw,24991,8759,2536,100
1277,coleslaw sehat,13239,5195,2172,209
1278,rainbow salad,44385,8665,4223,397
1279,slaw segar,13361,4252,1143,78
1280,cabbage mix slaw,39041,10179,4178,337
1281,salad kol warna-warni,17763,4464,1355,101
1282,slaw ringan,15147,4292,1909,105
1283,fresh veggie slaw,30880,5267,3335,166
1284,margherita personal pizza,920,202,112,7
1285,pizza margherita kecil,28888,7713,4462,431
1286,personal size margherita,49791,10809,6089,539
1287,mini margherita pizza,2387,697,468,39
1288,margherita pizza individual,17236,6814,3078,255
1289,personal pan pizza,15220,4729,3036,231
1290,pizza keju tomat,8209,1930,1098,100
1291,bánh pizza nhỏ margherita,23841,5195,1815,132
1292,pizza satu orang,13144,4816,1993,91
1293,single serve pizza,28689,9223,5144,218
1294,classic cheese pizza,13869,4889,3019,241
1295,margherita small pizza,35352,13325,7064,378
1296,pizza margherita solo,37353,14894,6199,457
1297,pizza personal klasik,3507,852,394,38
1298,fried shrimp dumplings (6),2787,462,245,10
1299,dumpling udang goreng,20836,5960,1684,86
1300,dumpling 6 pcs,22835,7320,3917,150
1301,shrimp dumpling goreng,35787,8565,3890,142
1302,gyoza udang,27106,6261,2546,229
1303,fried wonton udang,8342,1885,1066,57
1304,pangsit udang goreng,9450,3464,900,61
1305,fried dumpling isi udang,546,161,87,6
1306,bánh há cảo chiên,36704,5651,2415,183
1307,dumpling udang 6 biji,9989,3116,1200,106
1308,shrimp fried dumplings,2274,689,476,36
1309,pangsit goreng 6,25382,4006,1247,101
1310,gorengan udang dumpling,18127,6220,4100,212
1311,shrimp gyoza,4669,1707,1117,62
1312,crispy dumplings shrimp,22350,7357,2569,113
1313,lamb rogan josh,17374,6362,4226,262
1314,kari kambing rogan josh,25170,5042,2720,252
1315,domba rogan josh,29097,11477,7271,412
1316,lamb curry rogan,28151,8969,3792,247
1317,indian lamb curry,41685,9357,3217,135
1318,rogan josh,19440,7673,3603,182
1319,rogan josh kari domba,12610,4320,1679,144
1320,daging kambing rogan,19271,6702,3752,291
1321,thịt cừu rogan josh,24266,4405,2769,122
1322,kari india domba,921,304,164,6
1323,spicy lamb curry,2759,1042,564,27
1324,lamb masala,35066,13548,9268,584
1325,rogan josh klasik,21557,8352,4889,475
1326,rogan kambing,35583,10469,3394,262
1327,rogan josh pedas,26727,10604,7415,319
1328,butter chicken,28763,4712,1594,77
1329,chicken makhani,10885,2089,1194,85
1330,ayam mentega,34173,10970,4226,228
1331,kari ayam mentega,38772,7441,4000,368
1332,ayam butter,21087,6941,3388,205
1333,indian butter chicken,4248,896,289,19
1334,kari india ayam,15168,3250,983,92
1335,ayam saus mentega,13380,4213,1862,96
1336,ayam makhani,23116,3705,1657,73
1337,gà bơ Ấn Độ,14750,5705,2224,85
1338,kari ayam creamy,28849,6094,2193,121
1339,chicken creamy curry,22506,7375,4843,249
1340,ayam kuah butter,5927,1752,785,37
1341,ayam india,40202,8490,3039,174
1342,butter chicken curry,32139,8425,3323,114
1343,butter sauce chicken,34481,7378,3883,273
1344,smoked salmon bagel,26642,9112,4936,307
1345,bagel salmon asap,22891,7794,2470,111
1346,bagel isi salmon,13185,3703,1225,106
1347,salmon bagel,30353,11192,3819,314
1348,bánh vòng cá hồi hun khói,20236,4224,1557,58
1349,roti bagel salmon,1391,373,170,15
1350,sandwich salmon asap,43633,13894,8475,599
1351,smoked fish bagel,48232,12911,6242,255
1352,bagel with cream cheese and salmon,20285,6780,2023,138
1353,salmon lox bagel,22054,4192,1632,93
1354,bagel isi ikan asap,42439,13909,6737,598
1355,salmon breakfast bagel,14289,3115,988,59
1356,bagel topping salmon,45283,7426,2875,193
1357,kombucha,47120,9749,4253,244
1358,teh kombucha,17972,3486,1541,77
1359,kombucha drink,12980,3026,1600,130
1360,kombucha minuman,14128,2847,923,44
1361,kombucha tea,35274,12417,5321,440
1362,fermented tea,47782,16927,10054,520
1363,probiotic tea,36493,13511,5686,485
1364,kombucha botol,927,296,155,13
1365,nước lên men kombucha,48548,8777,4566,279
1366,minuman kesehatan,44405,14151,3795,218
1367,teh asam kombucha,41338,12355,6632,279
1368,health tea,41626,14743,3972,274
1369,minuman sehat kombucha,35382,10156,6892,500
1370,kombucha soda,33579,9210,5358,291
1371,sparkling kombucha,47128,16248,11060,858
1372,kombucha fermentasi,44656,17360,4643,192
1373,falafel & couscous bowl,28957,9115,4771,255
1374,falafel couscous,40892,11789,4126,257
1375,mangkuk falafel couscous,42291,8936,5174,473
1376,falafel grain bowl,45347,14027,6834,555
1377,couscous dengan falafel,40584,15568,10042,984
1378,couscous veggie bowl,32349,11036,3542,171
1379,couscous bowl vegetarian,40255,9079,3687,140
1380,bánh falafel và couscous,26942,9287,3506,203
1381,healthy grain bowl,15777,2834,1389,94
1382,falafel salad bowl,18381,5704,2831,280
1383,mangkuk sayur falafel,40723,8819,3458,325
1384,falafel dengan couscous,11448,1763,615,45
1385,couscous wrap bowl,20151,7737,3623,301
1386,veggie grain falafel,35976,14262,9537,350
1387,sangria (non-alcoholic),28230,4588,2189,145
1388,sangria non alkohol,49079,17667,10521,494
1389,mocktail sangria,37061,13850,3549,255
1390,sangria buah,22384,6705,2128,126
1391,sangria tanpa alkohol,40483,8521,2741,136
1392,jus buah sangria,15997,4323,1625,59
1393,non-alcoholic sangria,1844,303,179,17
1394,nước sangria không cồn,47629,13305,3388,133
1395,fruity sangria,18052,5851,3742,133
1396,sangria segar,40733,14442,4889,378
1397,sangria mix juice,31204,6759,4326,281
1398,sangria virgin,25395,9546,5365,191
1399,minuman buah dingin,25641,5140,3330,315
1400,sangria mix non-alkohol,16683,3830,1016,95
1401,sangria tropical drink,45821,10521,7064,616
1402,coconut water,3511,669,198,15
1403,air kelapa,33667,6086,4167,389
1404,air kelapa muda,32285,5793,1761,122
1405,jus kelapa,47445,11444,7007,501
1406,nước dừa,37153,8210,5220,283
1407,coconut drink,16829,5179,2225,152
1408,fresh coconut water,5751,1069,288,14
1409,coconut hydration,18065,5539,1584,129
1410,coconut refreshment,10849,1765,554,24
1411,kelapa segar,46482,12442,4613,185
1412,es kelapa muda,2372,548,382,24
1413,minuman kelapa,21754,8667,2284,203
1414,coconut healthy drink,23856,5783,3682,244
1415,kelapa botol,16263,2534,1429,97
1416,tropical coconut water,13467,4308,2254,127
1417,coconut juice,18542,3690,1815,99
1418,air kelapa alami,6897,1882,910,34
1419,classic french toast,7304,1802,699,45
1420,roti panggang telur,26440,10569,6720,260
1421,french toast klasik,30111,6032,3192,277
1422,roti telur manis,1893,622,395,23
1423,roti bakar gaya perancis,27269,7284,4842,392
1424,bánh mì nướng Pháp,18201,5779,1871,128
1425,french toast breakfast,3917,1524,479,18
1426,toast manis,19785,4060,1302,113
1427,roti susu telur,39318,10139,6150,385
1428,roti bakar lembut,42332,8077,5250,279
1429,sarapan roti manis,49760,18364,9075,540
1430,classic sweet toast,47480,11281,3117,135
1431,roti celup telur,18546,4766,1228,65
1432,roti bakar brunch,22199,4124,1935,77
1433,roti gaya perancis,40137,15773,5690,544
1434,cherry pie,40976,13234,3653,146
1435,pai ceri,8342,3125,1699,89
1436,cherry dessert,36115,9428,4655,291
1437,pie buah ceri,18795,7203,2317,220
1438,kue pai ceri,5460,904,445,43
1439,bánh tart anh đào,13717,5063,2094,193
1440,sweet cherry pie,15570,2650,843,41
1441,pie buah merah,45390,17662,6090,360
1442,pai manis ceri,41574,15623,3915,221
1443,pai klasik buah,43553,15261,3978,341
1444,kue cherry pie,11021,4242,2855,209
1445,cherry tart,13893,4205,1539,144
1446,dessert buah ceri,37825,9675,6613,236
1447,pie isi ceri,16604,3114,1413,67
1448,cherry pie slice,5723,1784,1171,93
1449,cheesy breadsticks,15537,2542,1030,40
1450,breadstick keju,19238,6608,4485,368
1451,breadsticks with cheese,30103,5170,2707,206
1452,roti keju panjang,30547,6457,2386,109
1453,garlic cheese sticks,34888,8215,2413,172
1454,breadsticks rasa keju,28873,11298,3218,304
1455,stik keju,16677,6442,1658,128
1456,cheesy garlic sticks,34394,6097,2017,105
1457,bánh mì que phô mai,677,152,38,1
1458,roti panjang keju,39240,12818,8643,703
1459,breadstick lembut keju,44482,12333,5829,390
1460,keju bread stick,11899,2185,717,55
1461,keju panggang roti,39085,13483,4998,332
1462,cheese stick bread,28855,5662,2689,132
1463,roti celup keju,7904,2934,967,71
1464,tempura udon,49269,17324,6894,647
1465,udon tempura,45305,17903,8138,532
1466,mie udon goreng,32586,11267,6032,332
1467,udon dengan tempura,21326,5759,3286,142
1468,udon kuah tempura,3064,1157,746,27
1469,udon udang goreng,6085,1891,487,32
1470,udon Jepang,15904,4385,1718,80
1471,udon soup with shrimp,9208,3168,1871,76
1472,bánh canh tempura,38825,7113,2460,126
1473,mie kuah udon tempura,9234,3648,1665,56
1474,tempura noodle bowl,5708,1795,938,71
1475,udon udang,5670,1895,645,28
1476,tempura noodle soup,2662,404,220,13
1477,mie tempura jepang,8913,1452,886,72
1478,udon kuah jepang,35167,13392,6398,575
1479,house special pho,27580,8358,5067,444
1480,pho spesial,30166,7925,5324,455
1481,special pho,14545,5503,3593,174
1482,pho house special,716,125,44,4
1483,pho daging lengkap,7509,1312,824,50
1484,đặc biệt phở,37295,7966,2422,199
1485,vietnamese pho special,17235,3769,2186,80
1486,pho komplit,23367,8548,2560,160
1487,pho dengan daging campur,14037,2395,1008,60
1488,pho kombo,39895,13897,6577,411
1489,sup mie vietnam spesial,32182,8982,4538,238
1490,pho daging campur,49722,19298,12056,1059
1491,house pho,12716,4651,3005,290
1492,pho signature,15328,6094,2248,147
1493,pho klasik lengkap,49509,8253,5131,410
1494,combo pho bowl,4447,1589,1053,59
1495,pancit sotanghon,49917,18254,9052,680
1496,sotanghon,49031,11989,3332,290
1497,bihon sotanghon,38058,12506,3974,219
1498,pancit glass noodles,6859,2506,1626,121
1499,sotanghon guisado,46938,14493,3756,307
1500,mie bihon filipina,22836,5165,3161,193
1501,mie bening sotanghon,29850,9530,5230,425
1502,sotanghon pancit,12402,3473,1191,91
1503,pancit mie halus,43496,10242,3097,209
1504,miến xào Philippines,38502,5931,2653,142
1505,mie tipis filipina,7144,1702,1061,47
1506,pancit bihon,31592,6766,3777,135
1507,filipino noodle glass,22690,6474,3349,179
1508,pancit mie transparan,24741,5515,2741,195
1509,pancit soup glass noodles,49441,16213,5618,350
1510,spicy miso ramen,30248,9770,4916,353
1511,ramen miso pedas,2730,1046,354,28
1512,mie ramen miso,35516,11426,3055,113
1513,spicy ramen,18598,5764,2546,236
1514,ramen pedas,20344,4533,3154,127
1515,miso ramen,13385,2070,1376,132
1516,ramen miso kuah pedas,8030,1942,519,39
1517,mì ramen miso cay,29521,6628,3416,117
1518,ramen kuah pedas,24596,6242,3132,242
1519,miso soup ramen,42313,15396,10079,806
1520,ramen jepang pedas,37461,13544,6135,370
1521,ramen korea miso pedas,2277,601,313,14
1522,miso ramen hot,48682,17220,8626,459
1523,ramen spicy broth,34317,12126,8082,753
1524,ramen dengan miso pedas,16318,5982,2289,216
1525,gourmet grilled cheese,34136,6978,2455,175
1526,grilled cheese sandwich,44600,8410,4355,258
1527,roti bakar keju premium,12131,3734,1490,101
1528,grilled cheese mewah,13706,3925,2340,163
1529,keju panggang spesial,45059,15659,4560,313
1530,grilled cheese roti isi,21385,8199,2622,113
1531,gourmet cheese toast,33107,11887,4773,414
1532,bánh mì phô mai nướng,27351,5019,2877,121
1533,toast keju spesial,1656,254,137,12
1534,sandwich keju bakar,7046,2776,964,78
1535,roti keju,32140,7886,5372,387
1536,grilled toast cheese,17064,5392,3557,338
1537,gourmet cheese melt,44835,13385,8158,430
1538,breakfast burrito,2293,388,179,17
1539,burrito sarapan,27245,8243,5330,400
1540,morning burrito,29227,10522,4813,371
1541,burrito isi telur,49881,10399,4467,350
1542,burrito telur dan daging,4051,852,514,21
1543,roti gulung sarapan,41450,12212,5611,446
1544,sarapan burrito wrap,20892,4781,1820,149
1545,bánh burrito bữa sáng,42925,12537,7595,361
1546,burrito pagi,6793,1552,769,33
1547,burrito telur pagi,4446,865,391,21
1548,burrito isi lengkap,5241,1827,610,42
1549,burrito bacon telur,37627,9480,4466,154
1550,burrito wrap sarapan,33819,5901,2904,188
1551,burrito breakfast roll,40559,12872,8884,626
1552,classic bagel with cream cheese,19944,4240,1657,133
1553,bagel krim keju,5018,1102,490,47
1554,bagel keju,2309,866,243,23
1555,bagel klasik,6544,1397,688,44
1556,roti bagel dengan cream cheese,17960,5095,2924,261
1557,bánh vòng phô mai,49051,13676,4784,296
1558,bagel cream,39392,13930,7501,654
1559,cream cheese sandwich,37798,13185,8024,463
1560,bagel sarapan,954,144,55,2
1561,bagel oles keju,21790,5209,2911,147
1562,bagel isi lembut,33917,13560,7739,750
1563,bagel dan keju,3383,1145,343,14
1564,breakfast bagel cheese,36643,12669,7539,419
1565,bagel klasik cream,8559,1917,1012,82
1566,bagel pagi,12640,4361,3020,209
1567,salmon teriyaki,43295,15538,10123,980
1568,salmon saus teriyaki,27172,6898,2612,134
1569,ikan salmon teriyaki,26386,5684,1703,74
1570,grilled salmon teriyaki,36070,12022,4671,319
1571,teriyaki ikan salmon,45688,8522,5398,229
1572,teriyaki salmon bowl,12393,4377,2601,143
1573,bánh cá hồi sốt teriyaki,17530,5714,3623,239
1574,salmon Jepang,10446,3575,2011,125
1575,salmon teriyaki grilled,29613,11486,5809,331
1576,salmon panggang saus manis,48517,11056,6265,553
1577,ikan teriyaki,40772,11836,3722,311
1578,teriyaki fish,1310,280,183,11
1579,salmon rice teriyaki,10957,2248,1028,101
1580,salmon sweet soy,19246,3300,1635,62
1581,chili cheese dog,10929,2902,1179,105
1582,hot dog chili keju,2549,673,330,11
1583,chili dog,4146,1457,621,45
1584,hotdog keju dan sambal,45174,10663,5819,315
1585,sosis chili cheese,29885,7722,3122,201
1586,hotdog saus keju pedas,20541,5211,3381,128
1587,chili dog with cheese,25255,8817,2219,150
1588,bánh mì xúc xích sốt cay phô mai,25186,6469,2579,145
1589,hotdog isi keju dan sambal,3103,671,312,19
1590,cheesy chili dog,26803,4550,1440,53
1591,hotdog topping pedas,27109,7008,4888,188
1592,hotdog beef chili cheese,39071,8353,3174,246
1593,frankfurter keju sambal,30237,8291,3175,138
1594,classic fish & chips,13876,3626,1901,130
1595,fish and chips,5821,983,304,23
1596,ikan goreng dan kentang,25684,7418,4820,471
1597,fish n chips,3220,640,255,18
1598,ikan kentang goreng,33316,8889,3272,176
1599,fish fry with fries,18210,5692,3668,276
1600,classic fish fry,4368,1557,753,70
1601,bánh cá chiên khoai tây,38719,12731,4471,163
1602,ikan goreng kentang,4284,894,586,36
1603,fish & fries,7943,2294,1060,36
1604,fish fillet and fries,44394,6663,2209,184
1605,fish set meal,10029,2608,1726,159
1606,fish and chips klasik,34783,11184,3882,345
1607,british fish & chips,41422,10547,7243,445
1608,seafood and fries,48496,8527,5553,443
1609,spicy jalapeno burger,6283,2357,947,39
1610,burger jalapeno pedas,30016,8088,4250,327
1611,burger spicy jalapeno,6381,1387,734,28
1612,jalapeno cheeseburger,19408,3820,1323,94
1613,burger cabai hijau,14469,4075,2512,172
1614,burger keju jalapeno,33034,12147,5734,236
1615,burger pedas,49738,8384,5645,356
1616,spicy chili burger,48254,18575,5973,526
1617,bánh mì kẹp ớt jalapeno cay,11031,1850,1072,51
1618,burger daging pedas,45404,16249,9380,400
1619,hot burger,19785,6040,2970,244
1620,jalapeno beef burger,37614,12677,7239,657
1621,burger spicy beef,17956,4660,1761,61
1622,burger dengan jalapeno,2887,690,269,25
1623,jalapeno burger pedas,4747,1250,528,40
1624,spicy tuna roll,30213,9355,5833,431
1625,spicy tuna maki,43802,11212,6118,246
1626,sushi tuna pedas,33088,6923,4298,181
1627,gulungan tuna pedas,6466,1942,1130,86
1628,tuna roll spicy,20846,3825,1417,129
1629,maki tuna pedas,43103,7473,3487,180
1630,sushi tuna roll,39929,11719,7709,459
1631,bánh cuộn cá ngừ cay,36349,14153,7314,567
1632,spicy sushi roll,42922,16222,8152,314
1633,spicy tuna sushi,17570,5424,2346,138
1634,tuna sushi gulung,7033,2668,1489,145
1635,sushi pedas ikan,29782,5056,1885,77
1636,tuna roll pedas,1298,501,189,12
1637,tuna sushi pedas,26215,5072,1390,109
1638,maki tuna spicy,46082,9130,3515,129
1639,superfood power bowl,27133,7133,2244,216
1640,bowl sehat superfood,28181,4308,2268,193
1641,superfood bowl,35543,13316,6395,219
1642,healthy power bowl,4182,849,347,15
1643,salad bowl superfood,1818,458,169,16
1644,mangkuk nutrisi,2442,382,163,14
1645,energy bowl,27548,9258,5129,233
1646,power salad bowl,15977,5313,2433,130
1647,superfood grain bowl,5780,898,482,21
1648,bánh bát dưỡng chất,18295,5545,2940,101
1649,mixed grain salad,4948,1963,1178,51
1650,vegan power bowl,24006,8220,4255,359
1651,mangkuk protein nabati,47950,16595,8611,664
1652,mangkuk super sehat,8187,1810,846,47
1653,plant-based bowl,40692,9573,5911,247
1654,pho bo (beef noodle soup),47272,7699,5342,266
1655,pho bo,43103,14889,6571,453
1656,sup mie sapi vietnam,19887,5573,2084,188
1657,vietnamese beef pho,35808,7348,4112,407
1658,pho daging sapi,9753,2459,873,53
1659,pho kuah sapi,12395,4201,1909,97
1660,bánh phở bò,24271,8346,4802,456
1661,pho vietnam,16109,3704,1675,126
1662,beef noodle soup,11495,3757,1087,59
1663,pho sapi,25740,6949,4401,285
1664,pho klasik,22554,3984,2409,141
1665,sup pho bo,2550,515,309,27
1666,mie sapi kuah vietnam,24783,6683,1947,126
1667,pho daging,9489,3375,1820,72
1668,pho soup,42033,12966,7177,468
1669,volcano roll,43989,8717,2394,87
1670,gulungan volcano,8470,1396,392,38
1671,volcano sushi,20626,7209,3300,203
1672,spicy volcano roll,2023,610,367,20
1673,sushi gulung pedas,37765,11877,6890,415
1674,lava roll,22256,5647,2795,109
1675,maki volcano,40437,15623,7552,340
1676,sushi pedas meleleh,30151,6269,4003,308
1677,bánh sushi núi lửa,36727,10746,5185,213
1678,gulung lava sushi,46641,10010,3754,313
1679,volcano maki,29877,4805,3101,230
1680,volcano roll spicy,34015,7769,3727,234
1681,hot sushi roll,47855,16704,6546,322
1682,spicy tuna volcano,30881,10990,5121,484
1683,sushi ekstra pedas,21198,7757,3182,222
1684,guacamole & chips,5529,2022,978,62
1685,guac and chips,27476,6976,2035,194
1686,nachos guacamole,4175,923,484,33
1687,tortilla chips with guacamole,35665,7648,3171,212
1688,keripik dan guacamole,4029,651,427,42
1689,kentang tortilla saus guac,29129,11431,4551,391
1690,guacamole snack,48754,15593,7743,627
1691,bánh tortilla kèm sốt bơ,4615,1600,1066,40
1692,guac dipping,18864,6132,3121,137
1693,guac snack set,5766,2228,687,41
1694,guacamole + chips,35500,12817,5211,410
1695,avocado dip with chips,33216,9816,5864,308
1696,chips salsa guac,39253,12382,5683,321
1697,side guacamole,40888,7619,2430,205
1698,vegetable biryani,36020,11463,7080,328
1699,nasi biryani sayur,19431,6337,1951,71
1700,biryani vegetarian,21389,7956,4166,227
1701,sayur biryani,32311,7592,4421,309
1702,veggie biryani,36950,6878,2159,154
1703,biryani tanpa daging,49072,14565,6908,574
1704,biryani nasi sayur,11442,2211,1183,104
1705,biryani sayuran,48418,15006,3781,203
1706,cơm biryani rau củ,40145,12884,8619,534
1707,nasi rempah sayur,3588,994,492,29
1708,biryani india vegetarian,43316,14848,3953,381
1709,nasi bumbu sayuran,36415,5533,1417,96
1710,biryani sehat,26226,8758,6099,580
1711,vegetable masala rice,42070,8894,3745,313
1712,pancit malabon,48618,16202,7328,280
1713,pancit noodle malabon,13102,2775,1436,133
1714,malabon style pancit,31305,6530,4128,157
1715,mie pancit malabon,9616,3270,1901,82
1716,mie filipina kuah kental,21210,5829,1886,142
1717,mie seafood pancit,4058,1112,758,39
1718,filipino thick noodles,29468,5878,2909,118
1719,bánh pancit malabon,5237,1773,989,47
1720,mie kuning pancit,29755,10633,3942,284
1721,mie filipina pekat,44578,10848,5875,564
1722,pancit creamy,1759,265,123,8
1723,pancit special,38549,12062,6035,282
1724,bihon malabon,45373,7528,3689,145
1725,mie khas filipina,38225,12481,3393,118
1726,guacamole,44041,9652,4038,339
1727,guac,4979,1282,813,42
1728,saus alpukat,38640,12028,6651,280
1729,guacamole dip,43669,13943,9753,951
1730,alpukat tumbuk,14280,3408,1871,129
